fighter_name,height,weight_lbs,reach_inches,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,age
Teila Tuli,72.0,430.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,57.229295003422315
Marco Tulio,72.0,185.0,74.0,6.02,53,2.97,56,1.05,26,0,0.3,32.23271731690623
Jumabieke Tuerxun,67.0,135.0,72.0,1.6,28,3.08,59,0.47,11,66,0.9,40.388774811772755
Zubaira Tukhugov,68.0,155.0,68.0,3.17,39,3.07,63,2.13,39,100,0.0,35.6413415468857
Jalin Turner,75.0,155.0,77.0,5.79,48,4.54,41,0.75,55,75,1.1,31.304585900068446
Anton Turkalj,76.0,205.0,78.0,2.45,42,3.42,54,4.98,41,16,0.0,30.239561943874058
Albert Tumenov,71.0,170.0,73.0,3.76,42,3.34,58,0.2,20,75,0.0,34.69678302532512
James Wade,70.0,205.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,54.57631759069131
Donny Walker,69.0,135.0,72.0,1.81,37,3.85,46,0.0,0,57,1.7,46.672142368240934
Neil Wain,70.0,242.0,72.0,2.64,50,8.57,43,0.0,0,50,0.0,39.59753593429158
Andre Walker,71.0,205.0,72.0,2.28,31,4.36,34,0.0,0,0,0.0,53.78781656399726
Chase Waldon,73.0,185.0,75.0,1.03,28,6.72,38,7.76,33,0,0.0,39.964407939767284
Herschel Walker,73.0,215.0,72.0,3.42,67,0.45,46,1.94,100,100,0.0,64.5119780971937
TJ Waldburger,71.0,170.0,75.0,2.02,51,2.39,40,3.03,46,40,4.8,38.365503080082135
Chris Wade,70.0,155.0,70.0,1.7,53,1.75,51,2.6,51,55,1.1,38.93497604380561
Marcin Tybura,75.0,254.0,78.0,3.49,46,3.34,54,1.23,32,70,0.1,40.824093086926766
Wellington Turman,72.0,170.0,72.0,3.23,51,4.17,45,1.55,20,42,0.8,30.12457221081451
Austin Tweedy,69.0,155.0,72.0,4.29,66,6.43,0,0.0,0,0,0.0,35.94798083504449
Courtney Turner,74.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Brogan Walker,64.0,125.0,67.0,1.84,32,3.32,47,1.02,75,11,0.0,38.09445585215606
Valter Walker,78.0,244.0,78.0,1.92,52,2.67,43,5.39,69,100,3.6,28.72826830937714
Johnny Walker,78.0,205.0,82.0,3.9,54,2.99,46,0.36,50,57,0.7,34.43668720054757
Jeremy Wallace,69.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.56194387405886
Randall Wallace,71.0,185.0,73.0,1.13,38,4.11,45,2.13,50,0,0.0,37.516769336071185
Rodney Wallace,69.0,205.0,72.0,1.13,46,3.44,45,6.0,54,28,1.0,44.79123887748118
James Wallace,70.0,155.0,69.0,0.52,28,3.41,35,0.0,0,0,0.0,33.80150581793292
Ben Wall,70.0,155.0,72.0,1.47,29,8.53,29,0.0,0,100,0.0,37.451060917180016
Crafton Wallace,72.0,185.0,72.0,1.55,44,2.36,47,0.0,0,42,0.0,50.822724161533195
Julius Walker,76.0,205.0,78.0,3.72,53,4.18,42,4.07,38,100,0.0,27.143052703627653
Jim Wallhead,70.0,170.0,72.0,3.19,26,6.65,49,0.0,0,100,0.0,42.48049281314169
Cory Walmsley,72.0,205.0,72.0,0.79,100,1.18,50,0.0,0,0,0.0,39.59753593429158
Patrick Walsh,71.0,185.0,72.0,2.03,19,2.83,64,3.0,54,100,1.5,37.77138945927447
Sai Wang,72.0,170.0,72.0,3.17,46,2.27,53,0.0,0,77,0.0,40.643394934976044
Erick Wanderlei,73.0,205.0,72.0,0.63,41,2.66,40,3.8,66,0,1.9,50.21218343600274
Anying Wang,72.0,170.0,72.0,1.32,26,1.63,44,0.0,0,33,0.0,35.42505133470226
Andy Wang,66.0,155.0,72.0,3.43,36,10.29,62,0.0,0,0,0.0,49.275838466803556
Brian Warren,72.0,185.0,72.0,1.16,21,4.63,57,0.0,0,0,0.0,52.25462012320329
Dimitiri Wanderley,70.0,205.0,72.0,0.92,25,4.31,30,1.16,20,0,0.0,39.59753593429158
Richard Walsh,72.0,170.0,73.0,3.84,46,2.72,58,1.55,40,66,0.2,37.76317590691308
Brennan Ward,70.0,170.0,71.0,7.2,60,2.76,52,0.0,0,100,3.6,38.19028062970568
Joshua Wang-Kim,69.0,135.0,71.0,2.95,40,4.43,60,1.17,100,66,0.0,33.804243668720055
Curt Warburton,72.0,155.0,73.0,2.13,42,3.44,43,2.35,50,83,0.9,39.59753593429158
Wang Cong,66.0,125.0,65.0,6.82,58,2.73,60,0.62,75,85,0.6,34.31074606433949
Charlie Ward,71.0,170.0,72.0,1.64,19,7.21,53,0.0,0,0,0.0,45.719370294318956
Terrion Ware,68.0,135.0,71.0,4.02,32,6.07,50,0.5,22,44,0.0,40.435318275154
Kengo Watanabe,76.0,220.0,72.0,0.6,40,3.4,35,1.0,100,37,0.0,50.59822039698837
